epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3596.81,2.32936,1.30528,1.28094,0.6893,0.35921,0.45293,0.17147,2.34172,1.27353,1.34136,0.0011882,0.0011882,0.0011882
43,3680.46,2.32029,1.29901,1.28659,0.68278,0.3812,0.46813,0.1766,2.3356,1.2582,1.33222,0.0011684,0.0011684,0.0011684
44,3764.98,2.31328,1.30245,1.27989,0.67928,0.36947,0.4595,0.17428,2.33466,1.2747,1.33153,0.0011486,0.0011486,0.0011486
45,3851.55,2.315,1.29649,1.27489,0.6775,0.37987,0.46674,0.17278,2.35559,1.28717,1.34086,0.0011288,0.0011288,0.0011288
46,3935.72,2.32296,1.2912,1.27798,0.69878,0.37935,0.47226,0.17878,2.30984,1.2642,1.32441,0.001109,0.001109,0.001109
47,4020,2.28246,1.26225,1.26817,0.68307,0.38041,0.46828,0.17366,2.34516,1.24811,1.34221,0.0010892,0.0010892,0.0010892
48,4104.21,2.30277,1.28614,1.28145,0.68428,0.38281,0.4708,0.17452,2.35292,1.246,1.34262,0.0010694,0.0010694,0.0010694
49,4189.56,2.31311,1.27674,1.26789,0.69672,0.37536,0.46877,0.17593,2.32914,1.24535,1.34019,0.0010496,0.0010496,0.0010496
50,4273.18,2.29356,1.27074,1.28076,0.68821,0.38269,0.47467,0.18027,2.30144,1.2389,1.32936,0.0010298,0.0010298,0.0010298
51,4358.41,2.29527,1.25618,1.26297,0.67738,0.3814,0.46823,0.16959,2.38512,1.2611,1.34961,0.00101,0.00101,0.00101
52,4443.2,2.31839,1.27839,1.26765,0.70433,0.38017,0.47578,0.17939,2.32269,1.23127,1.33738,0.0009902,0.0009902,0.0009902
53,4527.82,2.28211,1.26001,1.26342,0.69461,0.38039,0.47455,0.18103,2.32012,1.23284,1.33305,0.0009704,0.0009704,0.0009704
54,4611.59,2.28673,1.27611,1.26643,0.7055,0.38382,0.47985,0.18187,2.3035,1.23594,1.32002,0.0009506,0.0009506,0.0009506
55,4696.8,2.28301,1.26093,1.26793,0.70076,0.37479,0.46994,0.17486,2.34381,1.24981,1.33895,0.0009308,0.0009308,0.0009308
56,4781.36,2.26961,1.25149,1.25745,0.70432,0.3806,0.47573,0.17762,2.33425,1.22769,1.33393,0.000911,0.000911,0.000911
57,4866.17,2.27124,1.24492,1.25929,0.70166,0.38968,0.48364,0.1829,2.31904,1.22794,1.33233,0.0008912,0.0008912,0.0008912
58,4952.03,2.26898,1.23348,1.25439,0.70408,0.38523,0.47782,0.17826,2.33123,1.23445,1.33265,0.0008714,0.0008714,0.0008714
59,5037.26,2.26335,1.2434,1.25959,0.69504,0.38736,0.47982,0.18207,2.32121,1.22479,1.33098,0.0008516,0.0008516,0.0008516
60,5123.25,2.24969,1.22883,1.25695,0.70874,0.38519,0.48129,0.18128,2.32338,1.21695,1.32713,0.0008318,0.0008318,0.0008318
61,5207.91,2.2776,1.24097,1.25692,0.69865,0.38394,0.47682,0.17938,2.34194,1.2189,1.33663,0.000812,0.000812,0.000812
62,5293.3,2.25499,1.22845,1.25513,0.70032,0.3814,0.47591,0.18031,2.31353,1.22409,1.33044,0.0007922,0.0007922,0.0007922
63,5379.8,2.27158,1.22602,1.24658,0.70603,0.38551,0.48048,0.18109,2.32742,1.21947,1.33495,0.0007724,0.0007724,0.0007724
64,5464.49,2.25022,1.22101,1.24961,0.71454,0.38882,0.48654,0.18489,2.30533,1.20488,1.32553,0.0007526,0.0007526,0.0007526
65,5548.73,2.23257,1.20668,1.25063,0.70576,0.38334,0.47724,0.18206,2.32004,1.21201,1.3304,0.0007328,0.0007328,0.0007328
66,5631.42,2.23766,1.2143,1.25314,0.70246,0.39621,0.48691,0.18312,2.32572,1.20284,1.3292,0.000713,0.000713,0.000713
67,5715.78,2.2328,1.21158,1.24606,0.70426,0.39397,0.48586,0.18195,2.32748,1.21207,1.33077,0.0006932,0.0006932,0.0006932
68,5800.3,2.24361,1.21352,1.24828,0.70176,0.39222,0.48422,0.183,2.32796,1.20211,1.33095,0.0006734,0.0006734,0.0006734
69,5885.11,2.22544,1.2011,1.24296,0.71138,0.38877,0.48396,0.18423,2.31057,1.20774,1.32569,0.0006536,0.0006536,0.0006536
70,5970.62,2.22701,1.2023,1.24121,0.70724,0.39816,0.49107,0.18697,2.30275,1.1979,1.32602,0.0006338,0.0006338,0.0006338
71,6056.16,2.23796,1.20866,1.2445,0.71239,0.39103,0.48691,0.18536,2.31529,1.2008,1.32648,0.000614,0.000614,0.000614
72,6141.45,2.2401,1.20237,1.24121,0.72182,0.39329,0.49012,0.18712,2.30508,1.19239,1.32325,0.0005942,0.0005942,0.0005942
